Id,Title,Description,Artwork,LeftAnswer,RightAnswer,LeftHeart,LeftCareer,LeftHappiness,LeftSociability,RightHeart,RightCareer,RightHappiness,RightSociability,ImpactTypes,AgeImpact,IsChainCard,NextOnLeft,NextOnRight,NextPoolLeft,NextPoolRight,LifeStage,IsOnlyOnce
"card_020","Developer Greetings","Hello, I am the creator of the game.","Developer Greetings_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,5,False
"card_065","Developer’s Coffee Break","The developer hasn’t coded your next choice yet. Please wait while they grab another coffee.","Developer’s Coffee Break_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_077","Artificial Inspiration","All sprites in this game were generated using AI.","Artificial Inspiration_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_009","Accident due to low energy","You had an accident due to low energy","accident due to low energy_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_010","Final Diagnosis","Your body couldn’t take it anymore. Illness overwhelmed you, and your story ends here.","Final Diagnosis_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_011","Unemployed","Without work or direction, you fell into hardship. Survival became impossible.","Unemployed_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_012","Broken Dreams","You gave up on all ambitions. Without goals, life itself lost its drive.","Broken Dreams_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_013","Final Breath","Your body couldn’t endure the weight of your choices. Life quietly fades away","Final Breath_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,5,False
"card_014","Alone in the Crowd","No friends, no family, no one left to hear your voice. Loneliness becomes your only companion.","Alone in the Crowd_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,5,False
"card_015","Faded Joy","All your ambitions dissolved into emptiness. With no spark left to chase, even waking up feels meaningless.","Faded Joy_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,5,False
"card_001","Morning Run","A friend invites you to go for a morning run. Do you accept?","Morning Run_0","No","Yes",10,-2,5,5,-5,2,-2,-5,"Heart|Happiness|Career|Sociability",1,False,,,,,YoungAdult,False
"card_002","Overtime","Your boss asks you to stay late to finish a project.","Overtime_0","No","Yes",-5,10,-5,0,2,-10,5,0,"Heart|Career|Happiness",1,False,,,,,Adult,False
"card_003","Weekend Trip","Your friends are going on a spontaneous weekend trip.","Weekend Trip (3)_0","No","Yes",0,5,-5,0,2,-5,10,0,"Heart|Career|Happiness",1,False,,,,,Adult,False
"card_004","Family Dinner","Your parents invite you for a family dinner.","Family Dinner_0","No","Yes",2,0,8,0,0,0,-8,0,"Heart|Happiness|Career",1,False,,,,,Adult,False
"card_005","Extreme Sports","An opportunity for bungee jumping arises. Do you take it?","Extreme Sports_0","No","Yes",5,0,-12,0,-2,0,5,0,"Heart|Happiness|Career",1,False,,,,,Adult,False
"card_006","Gym Membership","A new gym has opened near your house. Will you join?","output-onlinepngtools_0","No","Yes",5,-1,2,0,-2,0,0,0,"Heart|Career|Happiness",1,False,,,,,Adult,False
"card_007","Scholarship Offer","You received a competitive scholarship for a tough computer science program. It’s a great career step, but the workload will be heavy.","Scholarship Offer_0","Accept","Decline",-6,10,2,5,2,-6,-5,-5,"Heart|Career|Happiness|Sociability",1,True,"card_008",,,,YoungAdult,False
"card_008","Local Job Opportunity","A nearby studio offers a junior position with flexible hours. It’s practical but growth might be slower.","Local Job Opportunity_0","Take the job and start now","Keep searching for a better offer",2,4,3,1,-2,-4,-3,-10,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_016","The Meaninglessness of Life","The days seem meaningless, you don't enjoy anything","The Meaninglessness of Life_0","Go to a psychologist","Do nothing",0,0,-100,0,0,-5,5,0,,1,False,,,,,Any,False
"card_017","Illegal Agreement","An illegal job offer has arrived. It could be very lucrative.","Illegal Agreement_0","Reject","Accept",0,-100,0,0,0,-10,5,0,,1,False,,,,,Any,False
"card_018","Social Destruction","You got into an irreversible argument with your closest group of friends","Social Destruction_0","Sorry","Don't Care",0,0,0,-100,0,0,-5,1,,1,False,,,,,5,False
"card_019","Heart Attack","Suddenly your chest feels tight and you can't breathe","Heart Attack_0","Call an ambulance immediately","Ignore",-100,0,0,0,0,0,-5,0,,1,False,,,,,5,False
"card_021","Doctor Checkup","You feel chest pain — do you go for a checkup?","Doctor Checkup_0","Ignore It","Visit doctor",-3,0,-1,0,4,-1,0,0,"Heart",0,5,False,,,,,Adult,False
"card_022","Energy Drinks","Energy drinks keep you awake, but at a cost.","Energy Drinks_0","Stop drinking","Keep drinking",2,-1,-1,0,-3,1,0,0,"Heart|Career",0,2,False,,,,,YoungAdult,False
"card_023","Diet Plan","Doctor suggests a strict diet. Do you follow it?","Diet Plan_0","Ignore advice","Follow plan",-2,0,1,0,3,0,-1,0,"Heart|Happiness",0,3,False,,,,,Adult,False
"card_024","Sleep Schedule","Your sleep schedule is slipping. Will you fix it?","Sleep Schedule_0","Ignore it","Fix schedule",-2,-1,-1,0,3,0,1,0,"Heart|Career",0,2,False,,,,,5,False
"card_025","Free Screening","A free health screening is offered nearby. Do you attend?","Free Screening_0","Skip it","Attend",-2,0,0,0,3,-1,0,0,"Heart",0,5,False,,,,,Adult,False
"card_026","Yoga Class","A new yoga class is available in your area. Do you join?","Yoga Class_0","Too boring","Try it",-1,0,0,-1,3,0,2,1,"Heart|Happiness|Sociability",0,3,False,,,,,Adult,False
"card_027","Junk Food","Fast food is on discount today. Do you grab some?","Junk Food_0","Skip it","Buy it",2,0,0,0,-3,0,2,0,"Heart|Happiness",0,2,False,,,,,5,False
"card_028","Marathon","A local marathon invites participants. Do you run?","Marathon_0","Too tiring","Join",-1,0,-1,0,4,0,2,1,"Heart|Happiness",0,6,False,,,,,YoungAdult,False
"card_029","Meditation","A mindfulness retreat opens nearby. Do you attend?","Meditation_0","Ignore it","Attend",0,0,-1,0,2,0,3,0,"Heart|Happiness",0,4,False,,,,,Adult,False
"card_030","Join the Basketball Team","Joining the new basketball team may improve health and popularity but cut study time.","Join the Basketball Team_0","No thanks","I'm in",-1,1,-1,-2,2,-1,2,3,"Heart|Career|Happiness|Sociability",0,5,False,,,,,Teenager,True
"card_031","First Apartment","You found a small apartment downtown.","First Apartment_0","Stay old home","Move out",1,0,-1,-1,-1,1,2,2,"Happiness|Sociability|Career|Heart",0,5,False,,,,,Teenager,True
"card_032","Midnight Snack","At midnight, you crave pizza from the fridge, knowing it’s unhealthy but tempting.","Midnight Snack_0","Close the fridge","Eat the pizza",1,0,-1,0,-1,0,2,1,"Heart|Happiness|Sociability",0,1,False,,,,,Any,False
